/*********************************************
 * OPL 12.6.3.0 Data
 * Author: patrickmesana
 * Creation Date: 2016-02-21 at 4:04:39 PM
 *********************************************/
N = 32;
D = [
 [0,80,72,70,68,72,76,76,80,72,76,76,84,76,68,68,60,68,64,64,72,72,72,72,72,68,72,56,56,48,48,64],
[56,20,52,50,56,52,68,68,20,48,60,56,24,52,48,52,48,56,48,40,44,44,48,52,56,56,64,60,60,68,60,76],
[56,44,24,24,32,24,40,40,44,36,40,40,44,28,40,36,40,48,44,28,32,28,22,26,24,32,36,36,36,48,48,56],
[56,44,26,22,24,24,40,40,44,32,36,40,48,32,40,36,44,48,44,28,32,32,24,26,28,28,36,32,32,48,48,56],
[56,48,28,26,20,36,40,40,48,36,40,40,52,32,44,44,48,52,48,36,36,36,28,28,28,32,36,36,36,52,52,52],
[52,44,28,24,22,20,44,44,44,32,40,40,48,32,44,40,44,52,48,32,36,32,28,28,28,32,36,36,36,52,52,60],
[68,48,44,42,40,36,20,20,48,36,40,40,52,48,60,60,64,68,72,52,52,52,44,44,44,32,28,44,44,56,56,64],
[68,48,44,42,40,36,20,20,48,36,40,40,52,48,60,60,64,68,72,52,52,52,44,44,44,32,28,40,44,56,56,64],
[56,40,44,42,40,40,44,36,20,28,40,36,32,36,52,52,52,60,56,44,48,48,36,44,44,32,32,56,56,60,64,56],
[52,48,44,38,40,36,40,40,40,16,84,28,44,36,48,48,48,56,52,44,44,44,36,44,40,28,28,52,52,60,60,64],
[56,48,40,34,36,36,36,36,56,72,24,24,48,36,52,48,48,60,52,44,40,44,36,40,36,24,24,48,48,56,56,48],
[56,28,40,38,40,40,56,36,36,20,28,20,48,44,32,36,32,56,52,44,40,36,36,40,40,48,44,56,56,48,56,48],
[56,44,36,34,32,28,48,44,48,28,36,36,24,28,44,40,44,60,56,44,48,40,28,36,36,36,32,56,56,52,64,56],
[56,48,32,30,28,28,44,44,44,36,40,40,36,24,44,44,52,52,48,36,36,40,32,32,32,32,28,52,52,52,52,52],
[60,48,44,42,44,52,60,60,52,52,56,36,56,52,20,22,28,32,28,36,40,44,36,44,48,48,48,52,52,44,44,60],
[60,48,40,38,44,48,60,60,56,48,56,40,52,48,22,20,24,28,28,40,36,40,36,40,44,48,44,52,52,44,44,60],
[56,44,44,46,48,52,64,64,52,56,60,36,56,48,28,24,20,32,28,32,40,40,40,44,44,52,48,44,44,40,36,56],
[56,52,48,46,48,48,64,64,56,56,60,60,60,52,28,28,28,24,22,40,44,44,40,48,44,52,52,48,48,40,40,56],
[56,48,48,46,48,48,64,64,56,56,60,64,60,52,28,28,28,26,20,36,44,44,40,48,48,52,52,48,48,40,40,56],
[44,40,32,30,36,32,52,52,44,40,48,48,48,36,28,32,28,36,28,20,28,28,28,32,32,40,36,48,48,40,40,60],
[52,48,36,34,36,36,52,48,48,44,48,52,52,40,32,36,32,40,36,28,20,28,28,36,32,40,40,56,56,48,48,64],
[48,56,28,30,32,28,48,48,40,40,44,44,44,32,32,32,28,40,32,24,24,24,24,28,28,36,32,52,52,44,44,56],
[52,44,28,26,28,28,44,44,44,36,40,40,48,32,36,36,36,44,40,32,28,32,20,28,28,32,32,56,56,44,44,56],
[56,48,26,24,24,24,40,40,48,32,36,36,52,28,36,36,36,44,40,28,28,28,24,24,22,28,28,52,52,44,44,52],
[60,56,32,30,28,28,44,44,56,36,40,40,60,32,44,40,44,52,48,36,32,36,32,32,20,32,32,56,56,52,52,56],
[56,56,36,30,32,32,32,32,56,24,32,32,60,36,48,44,44,56,48,40,36,40,32,36,32,20,18,44,44,48,52,44],
[56,68,44,42,40,40,32,32,68,36,40,40,72,48,56,52,56,64,60,48,44,48,44,44,44,32,16,40,40,48,48,40],
[60,60,40,34,36,36,52,52,60,36,40,40,64,40,52,48,48,60,52,44,40,44,36,40,36,32,40,20,48,44,44,48],
[60,60,40,34,36,36,40,40,60,36,40,40,64,40,52,48,48,60,52,44,40,44,36,40,36,32,40,22,20,44,44,48],
[48,64,52,50,52,52,56,56,64,56,60,60,68,56,48,44,48,52,48,48,48,48,44,52,48,48,56,36,36,20,22,48],
[44,64,52,50,52,52,56,56,64,52,56,60,68,56,48,48,44,52,48,48,48,48,44,52,48,48,56,36,36,22,20,44],
[56,76,60,58,60,60,56,56,72,60,64,64,76,64,64,64,60,64,60,64,64,68,60,60,60,56,60,44,44,48,48,20]
 ];
